,년도,월,count
1095,2019,3,1
1096,2019,3,1
1097,2019,3,1
1098,2019,5,1
1099,2019,3,1
1100,2019,3,1
1101,2019,3,1
1102,2019,3,1
1103,2019,5,1
1104,2019,5,1
1105,2019,5,1
1106,2019,5,1
1107,2019,3,1
1108,2019,3,1
1109,2019,4,1
1110,2019,3,1
1111,2019,3,1
1112,2019,3,1
1113,2019,3,1
1114,2019,3,1
1115,2019,3,1
1116,2019,3,1
1117,2019,4,1
1118,2019,4,1
1119,2019,5,1
1120,2019,5,1
1121,2019,5,1
1122,2019,4,1
1123,2019,4,1
1124,2019,4,1
1125,2019,3,1
1126,2019,3,1
1127,2019,12,1
1128,2019,12,1
1129,2019,12,1
1130,2019,12,1
1131,2019,12,1
1132,2019,12,1
1133,2019,12,1
1134,2019,12,1
1135,2019,12,1
1136,2019,12,1
1137,2019,12,1
1138,2019,12,1
1139,2019,12,1
1140,2019,12,1
1141,2019,12,1
1142,2019,12,1
1143,2019,12,1
1144,2019,12,1
1145,2019,12,1
1146,2019,12,1
1147,2019,12,1
1148,2019,12,1
1149,2019,12,1
1150,2019,12,1
1151,2019,12,1
1152,2019,12,1
1153,2019,2,1
1154,2019,2,1
1155,2019,2,1
1156,2019,2,1
1157,2019,2,1
1158,2019,2,1
1159,2019,2,1
1160,2019,2,1
1161,2019,2,1
1162,2019,2,1
1163,2019,2,1
1164,2019,2,1
1165,2019,12,1
1166,2019,12,1
1167,2019,12,1
1168,2019,12,1
1169,2019,12,1
1170,2019,12,1
1171,2019,12,1
1172,2019,12,1
1173,2019,12,1
1174,2019,12,1
1175,2019,12,1
1176,2019,12,1
1177,2019,12,1
1178,2019,12,1
1179,2019,1,1
1180,2019,10,1
1181,2019,10,1
1182,2019,10,1
1183,2019,10,1
1184,2019,1,1
1185,2019,1,1
1186,2019,1,1
1187,2019,1,1
1188,2019,1,1
1189,2019,1,1
1190,2019,1,1
1191,2019,10,1
1192,2019,1,1
1193,2019,1,1
1194,2019,1,1
1195,2019,1,1
1196,2019,1,1
1197,2019,1,1
1198,2019,1,1
1199,2019,1,1
1200,2019,1,1
1201,2019,1,1
1202,2019,10,1
1203,2019,10,1
1204,2019,12,1
1205,2019,11,1
1206,2019,12,1
1207,2019,12,1
1208,2019,12,1
1209,2019,12,1
1210,2019,11,1
1211,2019,11,1
1212,2019,11,1
1213,2019,11,1
1214,2019,11,1
1215,2019,11,1
1216,2019,11,1
1217,2019,10,1
1218,2019,11,1
1219,2019,11,1
1220,2019,11,1
1221,2019,11,1
1222,2019,11,1
1223,2019,11,1
1224,2019,11,1
1225,2019,10,1
1226,2019,10,1
1227,2019,10,1
1228,2019,2,1
1229,2019,2,1
1230,2019,2,1
1231,2019,3,1
1232,2019,3,1
1233,2019,3,1
1234,2019,3,1
1235,2019,3,1
1236,2019,3,1
1237,2019,3,1
1238,2019,3,1
1239,2019,3,1
1240,2019,3,1
1241,2019,3,1
1242,2019,3,1
1243,2019,3,1
1244,2019,3,1
1245,2019,3,1
1246,2019,3,1
1247,2019,3,1
1248,2019,3,1
1249,2019,3,1
1250,2019,3,1
1251,2019,3,1
1252,2019,3,1
1253,2019,3,1
1254,2019,3,1
1255,2019,3,1
1256,2019,3,1
1257,2019,3,1
1258,2019,3,1
1259,2019,3,1
1260,2019,3,1
1261,2019,3,1
1262,2019,3,1
1263,2019,3,1
1264,2019,3,1
1265,2019,3,1
1266,2019,3,1
1267,2019,3,1
1268,2019,3,1
1269,2019,3,1
1270,2019,3,1
1271,2019,3,1
1272,2019,3,1
1273,2019,3,1
1274,2019,3,1
1275,2019,3,1
1276,2019,3,1
1277,2019,3,1
1278,2019,3,1
1279,2019,3,1
1280,2019,3,1
1281,2019,3,1
1282,2019,2,1
1283,2019,2,1
1284,2019,2,1
1285,2019,2,1
1286,2019,2,1
1287,2019,2,1
1288,2019,2,1
1289,2019,2,1
1290,2019,2,1
1291,2019,2,1
1292,2019,2,1
1293,2019,2,1
1294,2019,2,1
1295,2019,2,1
1296,2019,2,1
1297,2019,2,1
1298,2019,2,1
1299,2019,2,1
1300,2019,2,1
1301,2019,2,1
1302,2019,2,1
1303,2019,2,1
1304,2019,2,1
1305,2019,2,1
1306,2019,2,1
1307,2019,2,1
1308,2019,2,1
1309,2019,2,1
1310,2019,2,1
1311,2019,2,1
1312,2019,2,1
1313,2019,2,1
1314,2019,2,1
1315,2019,2,1
1316,2019,2,1
1317,2019,2,1
1318,2019,2,1
1319,2019,2,1
1320,2019,2,1
1321,2019,2,1
1322,2019,2,1
1323,2019,2,1
1324,2019,2,1
1325,2019,2,1
1326,2019,2,1
1327,2019,2,1
1328,2019,2,1
1329,2019,2,1
1330,2019,2,1
1331,2019,2,1
1332,2019,3,1
1333,2019,6,1
1334,2019,6,1
1335,2019,1,1
1336,2019,8,1
1337,2019,9,1
1338,2019,8,1
1339,2019,8,1
1340,2019,8,1
1341,2019,8,1
1342,2019,7,1
1343,2019,7,1
1344,2019,7,1
1345,2019,6,1
1346,2019,6,1
1347,2019,6,1
1348,2019,6,1
1349,2019,6,1
1350,2019,1,1
1351,2019,1,1
1352,2019,1,1
1353,2019,1,1
1354,2019,1,1
1355,2019,1,1
1356,2019,1,1
1357,2019,1,1
1358,2019,1,1
1359,2019,1,1
1360,2019,1,1
1361,2019,1,1
1362,2019,1,1
1363,2019,1,1
1364,2019,1,1
1365,2019,1,1
1366,2019,1,1
1367,2019,1,1
1368,2019,1,1
1369,2019,1,1
1370,2019,1,1
1371,2019,1,1
1372,2019,1,1
1373,2019,1,1
1374,2019,1,1
1375,2019,1,1
1376,2019,1,1
1377,2019,1,1
1378,2019,1,1
1379,2019,1,1
1380,2019,1,1
1381,2019,1,1
1382,2019,1,1
1383,2019,1,1
1384,2019,1,1
1385,2019,1,1
1386,2019,1,1
1387,2019,1,1
1388,2019,1,1
1389,2019,1,1
1390,2019,1,1
1391,2019,1,1
1392,2019,1,1
1393,2019,1,1
1394,2019,1,1
1395,2019,1,1
1396,2019,1,1
1397,2019,1,1
1398,2019,1,1
1399,2019,1,1
1400,2019,1,1
1401,2019,1,1
1402,2019,1,1
1403,2019,1,1
1404,2019,1,1
1405,2019,1,1
1406,2019,1,1
1407,2019,1,1
1408,2020,3,7
1409,2020,12,6
1410,2020,12,6
1411,2020,2,5
1412,2020,1,5
1413,2020,1,5
1414,2020,12,5
1415,2020,1,5
1416,2020,2,4
1417,2020,10,4
1418,2020,11,4
1419,2020,1,4
1420,2020,2,4
1421,2020,1,4
1422,2020,1,4
1423,2020,11,3
1424,2020,11,3
1425,2020,2,3
1426,2020,11,3
1427,2020,1,3
1428,2020,11,2
1429,2020,11,2
1430,2020,2,2
1431,2020,1,2
1432,2020,4,2
1433,2020,1,2
1434,2020,3,2
1435,2020,1,1
1436,2020,9,1
1437,2020,9,1
1438,2020,8,1
1439,2020,6,1
1440,2020,5,1
1441,2020,5,1
1442,2020,11,1
1443,2020,11,1
1444,2020,11,1
1445,2020,10,1
1446,2020,10,1
1447,2020,10,1
1448,2020,10,1
1449,2020,10,1
1450,2020,10,1
1451,2020,10,1
1452,2020,10,1
1453,2020,10,1
1454,2020,10,1
1455,2020,10,1
1456,2020,10,1
1457,2020,10,1
1458,2020,10,1
1459,2020,10,1
1460,2020,10,1
1461,2020,10,1
1462,2020,10,1
1463,2020,10,1
1464,2020,10,1
1465,2020,11,1
1466,2020,11,1
1467,2020,11,1
1468,2020,11,1
1469,2020,11,1
1470,2020,11,1
1471,2020,11,1
1472,2020,11,1
1473,2020,11,1
1474,2020,11,1
1475,2020,11,1
1476,2020,11,1
1477,2020,11,1
1478,2020,11,1
1479,2020,11,1
1480,2020,11,1
